model,dataset,false_positive_rate,true_positive_rate,threshold
Random Forest — With Risk,With Risk Index,0.576271186440678,0.8983050847457628,0.3953504222298997
Random Forest — With Risk,With Risk Index,0.576271186440678,0.9110169491525424,0.3422367522320488
Random Forest — With Risk,With Risk Index,0.5932203389830508,0.9322033898305084,0.3086918368041325
Random Forest — With Risk,With Risk Index,0.6271186440677966,0.9322033898305084,0.276235452213898
Random Forest — With Risk,With Risk Index,0.6440677966101694,0.940677966101695,0.2638292397046185
Random Forest — With Risk,With Risk Index,0.6610169491525424,0.940677966101695,0.24747716646349335
Random Forest — With Risk,With Risk Index,0.6949152542372882,0.940677966101695,0.24741967315291852
Random Forest — With Risk,With Risk Index,0.6949152542372882,0.9449152542372882,0.23568667487828132
Random Forest — With Risk,With Risk Index,0.711864406779661,0.9491525423728814,0.23431183238133846
Random Forest — With Risk,With Risk Index,0.7457627118644068,0.9533898305084746,0.22824304286180955
Random Forest — With Risk,With Risk Index,0.7796610169491526,0.9533898305084746,0.21026899637631136
Random Forest — With Risk,With Risk Index,0.7796610169491526,0.9576271186440678,0.20865913631741176
Random Forest — With Risk,With Risk Index,0.8135593220338984,0.961864406779661,0.2038082619830303
Random Forest — With Risk,With Risk Index,0.8305084745762712,0.961864406779661,0.20335587830339755
Random Forest — With Risk,With Risk Index,0.8305084745762712,0.9745762711864406,0.1794866680818232
Random Forest — With Risk,With Risk Index,0.8305084745762712,0.9830508474576272,0.17569479758868373
Random Forest — With Risk,With Risk Index,0.8305084745762712,0.9872881355932204,0.15763270123081885
Random Forest — With Risk,With Risk Index,0.847457627118644,0.9872881355932204,0.13302201890208334
Random Forest — With Risk,With Risk Index,0.8813559322033898,0.9872881355932204,0.1274525495701129
Random Forest — With Risk,With Risk Index,0.9152542372881356,0.9872881355932204,0.1115165607337873
Random Forest — With Risk,With Risk Index,0.9322033898305084,0.9915254237288136,0.10726711962512596
Random Forest — With Risk,With Risk Index,0.9491525423728814,0.9915254237288136,0.10016721574307634
Random Forest — With Risk,With Risk Index,0.9491525423728814,0.9957627118644068,0.09411585557195173
Random Forest — With Risk,With Risk Index,0.9661016949152542,0.9957627118644068,0.08914099949690737
Random Forest — With Risk,With Risk Index,0.9830508474576272,1.0,0.06078562099974456
Random Forest — With Risk,With Risk Index,1.0,1.0,0.05030251225592312
